user_id,auction_id,category,cat,property,buy_mount,day
user_00815,auction_00000001,38,77908907,property_30,3,20120508
user_00012,auction_00000002,50008168,96911784,property_90,1,20140119
user_00318,auction_00000003,50014815,55799273,property_11,1,20141029
user_00592,auction_00000004,28,11698142,property_84,5,20140117
user_00216,auction_00000005,50014815,66379329,property_83,3,20120225
user_00339,auction_00000006,50008168,75793759,property_50,4,20120525
user_00776,auction_00000007,50022520,24165187,property_61,2,20140205
user_00991,auction_00000008,50014815,68186525,property_3,1,20130211
user_00661,auction_00000009,50022520,58612055,property_36,3,20151026
user_00081,auction_00000010,50022520,95306788,property_94,3,20120109
user_00727,auction_00000011,50008168,71705170,property_83,1,20120518
user_00485,auction_00000012,50008168,30534124,property_42,3,20140622
user_00374,auction_00000013,28,68450095,property_6,4,20130416
user_00976,auction_00000014,38,33640702,property_19,1,20151023
user_00710,auction_00000015,50014815,80027662,property_32,2,20150724
user_00200,auction_00000016,50008168,97302916,property_23,1,20120703
user_00537,auction_00000017,50014815,46249845,property_73,1,20140516
user_00466,auction_00000018,50022520,92666356,property_2,1,20141014
user_00089,auction_00000019,38,82232344,property_17,3,20120711
user_00268,auction_00000020,28,74893936,property_67,3,20131009
user_00655,auction_00000021,50014815,72394301,property_20,1,20140516
user_00571,auction_00000022,38,68461818,property_18,2,20120420
user_00922,auction_00000023,28,89520597,property_89,2,20131211
user_00489,auction_00000024,50014815,46023439,property_61,4,20141214
user_00877,auction_00000025,38,53258988,property_98,3,20140620
user_00538,auction_00000026,50008168,42949803,property_5,1,20150317
user_00047,auction_00000027,50014815,21631697,property_8,2,20120506
user_00288,auction_00000028,38,47437115,property_77,2,20140203
user_00778,auction_00000029,28,70505620,property_27,11,20120921
user_00016,auction_00000030,38,42730796,property_95,2,20130102
user_00711,auction_00000031,50008168,72372114,property_85,4,20130607
user_00401,auction_00000032,50014815,86483924,property_38,2,20130910
user_00919,auction_00000033,50014815,91917334,property_48,1,20120602
